HGNC_symbol	ENSTranscript
TUSC3	ENST00000503731
KAT6A	ENST00000265713
LZTR1	ENST00000215739
BRAP	ENST00000419234
LMO4	ENST00000370544
MARCO	ENST00000327097
KRT38	ENST00000246646
SYNGAP1	ENST00000418600
DDX18	ENST00000263239
INMT	ENST00000013222
QKI	ENST00000361752
ZBTB33	ENST00000326624
TRIM10	ENST00000449742
CDC42EP2	ENST00000279249
C6orf10	ENST00000447241
ZFPL1	ENST00000294258
GJB6	ENST00000241124
WDR3	ENST00000349139
MALT1	ENST00000348428
RALBP1	ENST00000383432
APOBEC2	ENST00000244669
MYOT	ENST00000239926
MORF4L1	ENST00000426013
PRDX3	ENST00000298510
GPR75	ENST00000394705
EHD1	ENST00000320631
AFG3L2	ENST00000269143
UGT2A1	ENST00000503640
PRSS21	ENST00000455114
MSL3	ENST00000380693
KDELR1	ENST00000330720
SF3A3	ENST00000373019
HNRNPA0	ENST00000314940
BTG3	ENST00000348354
CBX1	ENST00000393408
SEC61B	ENST00000223641
TOMM34	ENST00000372813
PDIA5	ENST00000316218
SERINC3	ENST00000342374
OS9	ENST00000315970
PNRC1	ENST00000336032
TMED2	ENST00000262225
LMAN2	ENST00000303127
MLLT11	ENST00000368921
STIP1	ENST00000305218
IFI44L	ENST00000370751
ACOT2	ENST00000238651
RAB40B	ENST00000571995
PKIA	ENST00000396418
CKAP4	ENST00000378026
YWHAQ	ENST00000238081
TMED10	ENST00000303575
ASCC3	ENST00000369162
ADIRF	ENST00000372013
UQCR11	ENST00000591899
CLP1	ENST00000302731
FERMT2	ENST00000341590
COPS6	ENST00000303904
RAB32	ENST00000367495
CCNI	ENST00000237654
GCN1	ENST00000300648
COPS5	ENST00000357849
METAP2	ENST00000323666
IMMT	ENST00000410111
SF3B2	ENST00000322535
SDS	ENST00000257549
ILVBL	ENST00000263383
KIF2C	ENST00000372224
SPINK5	ENST00000256084
CCDC85B	ENST00000312579
PDIA2	ENST00000219406
IL24	ENST00000294984
GLIPR1	ENST00000266659
TLK2	ENST00000346027
KLK11	ENST00000319720
KDELR3	ENST00000216014
SNRNP27	ENST00000244227
TMED1	ENST00000214869
LIAS	ENST00000261434
IFT27	ENST00000340630
TDRKH	ENST00000368827
LILRA1	ENST00000251372
LILRB3	ENST00000424807
LILRA3	ENST00000251390
RAB31	ENST00000578921
ADAP1	ENST00000265846
RIPK3	ENST00000216274
GTF2A1L	ENST00000403751
STON1	ENST00000404752
ELF2	ENST00000358635
PIM2	ENST00000376509
B4GAT1	ENST00000311181
GMPR	ENST00000259727
ZFHX3	ENST00000268489
ATP5E	ENST00000243997
ZFP36L2	ENST00000282388
CALM1	ENST00000356978
CD86	ENST00000393627
CEACAM7	ENST00000006724
CRYGD	ENST00000264376
DNMT3B	ENST00000328111
EIF2D	ENST00000271764
FMO3	ENST00000392085
HNMT	ENST00000280097
HOXA7	ENST00000242159
HOXC9	ENST00000303450
HOXD3	ENST00000249440
IDH3B	ENST00000380843
IFNA13	ENST00000449498
MYO9A	ENST00000356056
PRKDC	ENST00000314191
PYCR1	ENST00000329875
RASGRF2	ENST00000265080
RBBP6	ENST00000319715
RLN1	ENST00000223862
RIT1	ENST00000368323
RNF5	ENST00000375094
RORB	ENST00000376896
RP2	ENST00000218340
RPE	ENST00000454822
RXRG	ENST00000359842
SC5D	ENST00000264027
SERPINB3	ENST00000283752
SCN3A	ENST00000283254
SDF2	ENST00000247020
SRSF1	ENST00000258962
ST3GAL2	ENST00000342907
PMEL	ENST00000360714
SKIV2L	ENST00000375394
SLC2A3	ENST00000075120
SUMO2	ENST00000420826
SNRPD1	ENST00000300413
SOS2	ENST00000216373
SOX5	ENST00000309359
SOX10	ENST00000396884
SOX15	ENST00000250055
SOX12	ENST00000342665
SPP2	ENST00000168148
SPRR2D	ENST00000360379
SPTBN2	ENST00000309996
SRP72	ENST00000342756
HSPA13	ENST00000285667
STXBP2	ENST00000221283
TAF5	ENST00000369839
UPK1B	ENST00000264234
UPK3A	ENST00000216211
ZNF33B	ENST00000359467
ZNF16	ENST00000394909
ZNF17	ENST00000601808
ZNF19	ENST00000288177
ZNF182	ENST00000305127
ZNF22	ENST00000298299
ZNF24	ENST00000261332
ZNF28	ENST00000457749
ZNF32	ENST00000374433
ZNF33A	ENST00000374618
ZBTB25	ENST00000608382
RNF113A	ENST00000371442
SLC39A7	ENST00000374677
MTERF1	ENST00000351870
NR4A3	ENST00000395097
ALX1	ENST00000316824
MMP23B	ENST00000378675
CLDN10	ENST00000299339
NPIPA1	ENST00000328085
RPH3AL	ENST00000331302
ADAMTS1	ENST00000284984
RASA4	ENST00000262940
WASF2	ENST00000430629
ZNF197	ENST00000344387
LRRC23	ENST00000323702
NPM3	ENST00000370110
BTN3A3	ENST00000244519
SLC19A2	ENST00000236137
SCGN	ENST00000377961
PAPD7	ENST00000230859
PAGE4	ENST00000218068
NUDT21	ENST00000300291
CPSF6	ENST00000435070
ZPBP	ENST00000046087
DDX52	ENST00000349699
ABHD2	ENST00000565973
WWP1	ENST00000517970
WWP2	ENST00000359154
SOX30	ENST00000311371
CNTRL	ENST00000238341
UBE2C	ENST00000356455
C10orf10	ENST00000298295
CYB561D2	ENST00000232508
RAPGEF4	ENST00000397081
TMEM115	ENST00000266025
DUSP14	ENST00000394389
TOPBP1	ENST00000260810
TRIM31	ENST00000376734
STMN2	ENST00000220876
TPPP	ENST00000360578
HSF2BP	ENST00000291560
RER1	ENST00000605895
DNAJB4	ENST00000370763
KERA	ENST00000266719
ESM1	ENST00000381405
ADAMTS8	ENST00000257359
ADAMTS5	ENST00000284987
PTPN21	ENST00000556564
RPP14	ENST00000295959
KRR1	ENST00000229214
KATNA1	ENST00000367411
FGFR1OP	ENST00000366847
EMILIN1	ENST00000380320
BTN2A1	ENST00000312541
FAF1	ENST00000396153
NOX1	ENST00000372966
CD160	ENST00000369288
KIF3A	ENST00000378746
POLR3A	ENST00000372371
CLASRP	ENST00000221455
CAPN11	ENST00000398776
KPTN	ENST00000338134
PWP1	ENST00000412830
KALRN	ENST00000291478
CDC37	ENST00000222005
KAT7	ENST00000259021
DMC1	ENST00000216024
HHLA2	ENST00000357759
CORO1A	ENST00000219150
WDR45	ENST00000356463
FICD	ENST00000552695
AP4S1	ENST00000216366
LSM6	ENST00000296581
NUDT6	ENST00000304430
SOX21	ENST00000376945
FSTL1	ENST00000295633
WDHD1	ENST00000360586
CLTA	ENST00000433436
CLTCL1	ENST00000263200
ATP5I	ENST00000304312
SARDH	ENST00000371872
GUCA2B	ENST00000372581
NDUFV1	ENST00000322776
RPL10A	ENST00000322203
SLC22A18AS	ENST00000533594
UBL3	ENST00000380680
SSR3	ENST00000265044
TCF19	ENST00000376257
TEP1	ENST00000262715
TFDP1	ENST00000375370
THBS3	ENST00000368378
TCHH	ENST00000368804
TMF1	ENST00000543976
TNFAIP6	ENST00000243347
TRH	ENST00000302649
TRIO	ENST00000344204
UGT1A4	ENST00000373409
NR1H2	ENST00000253727
UTRN	ENST00000367545
VCP	ENST00000358901
VIL1	ENST00000248444
VPREB1	ENST00000302273
ZIC2	ENST00000376335
ZNF75D	ENST00000370766
ZNF79	ENST00000342483
ZNF80	ENST00000482457
ZNF81	ENST00000338637
ZNF90	ENST00000418063
PCGF2	ENST00000360797
ZNF146	ENST00000443387
VEZF1	ENST00000581208
ZNF175	ENST00000262259
RNF112	ENST00000461366
ZNF184	ENST00000211936
ZNF185	ENST00000449285
ZNF208	ENST00000397126
ZXDA	ENST00000358697
ZXDB	ENST00000374888
SLMAP	ENST00000295952
OR2H2	ENST00000383640
SLC14A2	ENST00000255226
SF3A2	ENST00000221494
PICALM	ENST00000526033
ZMYM6	ENST00000357182
ABCA8	ENST00000269080
PEMT	ENST00000395783
TESK2	ENST00000372086
POMT1	ENST00000372228
NUP50	ENST00000347635
PRSS23	ENST00000280258
CIT	ENST00000261833
ERLIN2	ENST00000276461
C14orf1	ENST00000256319
FAM107A	ENST00000394481
STRAP	ENST00000419869
INSL6	ENST00000381641
TREH	ENST00000264029
RASSF1	ENST00000359365
PKP3	ENST00000331563
NISCH	ENST00000345716
CELF3	ENST00000290583
CEP250	ENST00000397527
WBP4	ENST00000379487
ABCB8	ENST00000358849
SEC23IP	ENST00000369075
WIF1	ENST00000286574
SUPT16H	ENST00000216297
ANXA10	ENST00000359299
CHEK2	ENST00000328354
POLI	ENST00000579534
KLK8	ENST00000291726
FZD10	ENST00000539839
PROSC	ENST00000328195
IRAK3	ENST00000261233
AKAP13	ENST00000394518
AKAP10	ENST00000225737
PALM2-AKAP2	ENST00000374530
DDX20	ENST00000369702
DUSP10	ENST00000366899
MRPL3	ENST00000264995
RPL35	ENST00000348462
GALNT6	ENST00000356317
RASSF8	ENST00000381352
RNF2	ENST00000367510
PRAF2	ENST00000376390
SEC63	ENST00000369002
POLG2	ENST00000539111
RNF139	ENST00000303545
CA5B	ENST00000318636
PMF1	ENST00000368277
GPR176	ENST00000561100
NXPH4	ENST00000349394
NXPH3	ENST00000328741
NXPH2	ENST00000272641
GPR45	ENST00000258456
PACSIN2	ENST00000403744
SLC6A14	ENST00000371900
HRH3	ENST00000340177
XPOT	ENST00000332707
CHP1	ENST00000334660
SP140	ENST00000392045
PXMP4	ENST00000409299
DUSP12	ENST00000367943
SNF8	ENST00000290330
DDX19B	ENST00000288071
PRR4	ENST00000228811
ATXN2L	ENST00000336783
SYNRG	ENST00000339208
KLF12	ENST00000377669
KLF8	ENST00000468660
POU6F2	ENST00000403058
PNKP	ENST00000322344
B4GALT7	ENST00000029410
SLCO2B1	ENST00000289575
PNMA2	ENST00000522362
VPS45	ENST00000369130
LYPLA2	ENST00000374514
CD300A	ENST00000360141
PARK7	ENST00000338639
COPE	ENST00000262812
GPR182	ENST00000300098
ECD	ENST00000372979
GPN1	ENST00000610189
TMC6	ENST00000322914
VSIG4	ENST00000374737
STXBP3	ENST00000370008
FKBP9	ENST00000242209
STK38	ENST00000229812
CTRC	ENST00000375949
ACOT7	ENST00000361521
TUSC2	ENST00000232496
CBX3	ENST00000337620
EXOC3	ENST00000512944
GABARAP	ENST00000302386
U2AF2	ENST00000450554
OIP5	ENST00000220514
SCRG1	ENST00000296506
MGLL	ENST00000265052
TWF2	ENST00000305533
GABARAPL2	ENST00000037243
SYNPO	ENST00000307662
MME	ENST00000360490
C4A	ENST00000428956
BRCA1	ENST00000357654
ABL1	ENST00000372348
STAT1	ENST00000361099
KIF22	ENST00000160827
RANBP3	ENST00000340578
ZFYVE9	ENST00000357206
GRIN1	ENST00000371561
DMBT1	ENST00000368909
TRPA1	ENST00000262209
DLEC1	ENST00000346219
SH3BGR	ENST00000333634
NUPL2	ENST00000258742
TTF1	ENST00000334270
ZNF236	ENST00000253159
OGFR	ENST00000290291
AP4E1	ENST00000261842
ATF6	ENST00000367942
PAXIP1	ENST00000397192
PHLDA1	ENST00000602540
MMRN1	ENST00000264790
CELA3B	ENST00000337107
GNA12	ENST00000275364
HSP90AB1	ENST00000371646
LAMB4	ENST00000388781
COG2	ENST00000366669
MTF2	ENST00000370298
CASC3	ENST00000264645
KLRK1	ENST00000240618
NID2	ENST00000216286
NCBP2	ENST00000321256
NONO	ENST00000276079
TMED3	ENST00000299705
PADI2	ENST00000375486
RALY	ENST00000375114
RASA3	ENST00000334062
RFC5	ENST00000454402
BRD3	ENST00000303407
DDX42	ENST00000578681
SHOC2	ENST00000369452
SIX6	ENST00000327720
TARDBP	ENST00000240185
SIM2	ENST00000430056
LGALS9	ENST00000395473
DNM1L	ENST00000452533
MIP	ENST00000257979
AKR7A3	ENST00000361640
ATF5	ENST00000595125
COMMD3	ENST00000376836
CD93	ENST00000246006
CCT5	ENST00000280326
DGAT1	ENST00000332324
PUDP	ENST00000381077
ELL2	ENST00000237853
ZFPM2	ENST00000407775
FRAT2	ENST00000371019
GLUD2	ENST00000328078
PGLS	ENST00000252603
ABCB10	ENST00000344517
MACF1	ENST00000361689
ADAT1	ENST00000307921
ICOS	ENST00000316386
APPL1	ENST00000288266
ARL5A	ENST00000295087
ANGPTL2	ENST00000373425
CD3EAP	ENST00000309424
DNPEP	ENST00000273075
TRIM29	ENST00000341846
BACE1	ENST00000313005
BACE2	ENST00000330333
ARL2BP	ENST00000219204
STAP1	ENST00000265404
TMEM59L	ENST00000262817
CHIC2	ENST00000263921
AHSA1	ENST00000216479
TPX2	ENST00000300403
CA14	ENST00000369111
CASP14	ENST00000427043
CBLC	ENST00000270279
CBX5	ENST00000209875
NOCT	ENST00000280614
CDK20	ENST00000375883
CD2AP	ENST00000359314
CDC42EP4	ENST00000439510
MTO1	ENST00000370300
CHORDC1	ENST00000320585
CHRM5	ENST00000383263
CIZ1	ENST00000393608
CLCA4	ENST00000370563
CLDN12	ENST00000287916
CLDN17	ENST00000286808
COPG2	ENST00000582694
LMOD1	ENST00000367288
FAM50B	ENST00000380272
DDAH1	ENST00000284031
AATF	ENST00000225402
SERGEF	ENST00000265965
INTS6	ENST00000311234
CCNDBP1	ENST00000300213
DNAI1	ENST00000242317
DTYMK	ENST00000305784
F8A1	ENST00000369446
LPAR3	ENST00000370611
EHF	ENST00000257831
ago-02	ENST00000220592
EML2	ENST00000245925
EPB41L1	ENST00000338074
FBXL2	ENST00000484457
FBXL3	ENST00000355619
FBXL21	ENST00000297158
FBXL6	ENST00000331890
LRRC29	ENST00000393992
FBXW2	ENST00000608872
FBXO10	ENST00000432825
FBXO2	ENST00000354287
TSPAN17	ENST00000310032
FBXO25	ENST00000352684
FBXW8	ENST00000455858
FBXO3	ENST00000265651
FBXO7	ENST00000266087
FBXO8	ENST00000393674
FKBP8	ENST00000597960
FOXB1	ENST00000396057
FOXD3	ENST00000371116
FOXD4L1	ENST00000306507
FOXE3	ENST00000335071
FOXI1	ENST00000449804
ALDH1L1	ENST00000393434
NAT6	ENST00000354862
TIMM10B	ENST00000254616
FZD4	ENST00000531380
KIAA1549L	ENST00000389726
GAGE8	ENST00000402590
GAGE8	ENST00000404720
RABGAP1	ENST00000373647
GCA	ENST00000437150
ago-01	ENST00000373204
B3GAT3	ENST00000265471
GLG1	ENST00000205061
GNG3	ENST00000294117
GRHPR	ENST00000318158
GTF3C4	ENST00000372146
HAAO	ENST00000294973
HAVCR1	ENST00000339252
HNRNPH3	ENST00000265866
HARS2	ENST00000230771
TRIM32	ENST00000450136
MLYCD	ENST00000262430
MGAT4A	ENST00000393487
MGEA5	ENST00000361464
MID2	ENST00000262843
TPSD1	ENST00000211076
MYO1B	ENST00000339514
NEK1	ENST00000439128
NUBP2	ENST00000262302
GTPBP6	ENST00000400701
MSRB2	ENST00000376510
NT5C2	ENST00000343289
POMZP3	ENST00000310842
PRDM2	ENST00000235372
PTRF	ENST00000357037
RAB3GAP1	ENST00000264158
RYBP	ENST00000477973
SCAP	ENST00000265565
SIRT1	ENST00000212015
SIRT3	ENST00000382743
SIRT4	ENST00000202967
SIRT5	ENST00000606117
DKK1	ENST00000373970
SLC35A3	ENST00000370155
SNW1	ENST00000261531
SEPHS1	ENST00000327347
SEPHS2	ENST00000542752
RHOQ	ENST00000238738
RRAS2	ENST00000545643
TFEC	ENST00000265440
TKTL1	ENST00000369915
SLC27A5	ENST00000263093
XRN2	ENST00000377191
ZNF212	ENST00000335870
HBP1	ENST00000222574
HEY1	ENST00000354724
HEY2	ENST00000368364
HACL1	ENST00000321169
LAMP5	ENST00000246070
HS2ST1	ENST00000370550
TTLL1	ENST00000266254
TMEM184B	ENST00000361906
RHBDD3	ENST00000216085
HSPBP1	ENST00000255631
PLD3	ENST00000409735
HYAL4	ENST00000223026
HYPM	ENST00000341016
IL36RN	ENST00000393200
LILRA4	ENST00000291759
ITGB1BP2	ENST00000373829
ZNF346	ENST00000358149
FTSJ1	ENST00000348411
KCND2	ENST00000331113
KCNE5	ENST00000372101
KCNG2	ENST00000316249
KCNH3	ENST00000257981
KCNH4	ENST00000264661
MORF4L2	ENST00000441076
ACAP2	ENST00000326793
TRAM2	ENST00000182527
KEAP1	ENST00000393623
TLK1	ENST00000442919
ESPL1	ENST00000257934
PXDN	ENST00000252804
RAPGEF5	ENST00000344041
CABIN1	ENST00000263119
G3BP2	ENST00000395719
FBXW11	ENST00000265094
MAGI2	ENST00000354212
ADGRL2	ENST00000319517
FBXL7	ENST00000504595
AP2A2	ENST00000448903
FAIM2	ENST00000320634
EPB41L3	ENST00000341928
KDM2A	ENST00000529006
KIF4A	ENST00000374403
KIN	ENST00000379562
KIR2DS2	ENST00000573129
KIR2DS3	ENST00000576413
KIR2DS4	ENST00000599931
KIR2DS4	ENST00000574090
KIR2DS4	ENST00000339924
KLK9	ENST00000376832
KPNA6	ENST00000373625
LDOC1	ENST00000370526
LETM1	ENST00000302787
PLA2G15	ENST00000219345
MAPK8IP2	ENST00000329492
MAPRE1	ENST00000375571
MAPRE3	ENST00000405074
DNAJB9	ENST00000249356
MMD	ENST00000262065
KAT6B	ENST00000287239
MSRA	ENST00000317173
MYCBP	ENST00000397572
MYO10	ENST00000513610
MYO1F	ENST00000338257
CFAP45	ENST00000368099
TSPAN12	ENST00000222747
TSPAN15	ENST00000373290
NFATC2	ENST00000371564
GTPBP4	ENST00000360803
BAMBI	ENST00000375533
NNT	ENST00000264663
NTSR2	ENST00000306928
NUFIP1	ENST00000379161
FBXO9	ENST00000244426
OR10J1	ENST00000423932
OR1A2	ENST00000381951
OR1C1	ENST00000408896
OR1F1	ENST00000304646
OR1N1	ENST00000304880
OR1Q1	ENST00000297913
OR2A5	ENST00000408906
OR2B6	ENST00000244623
OR2C1	ENST00000304936
OR2F1	ENST00000392899
OR3A3	ENST00000291231
OR4D1	ENST00000268912
OR52A1	ENST00000328942
OR7C2	ENST00000248072
OR8B8	ENST00000328064
TTC33	ENST00000337702
OSTF1	ENST00000346234
GMEB2	ENST00000370077
NUPR1	ENST00000324873
PADI4	ENST00000375448
BLOC1S6	ENST00000220531
SMR3A	ENST00000226460
SPDEF	ENST00000374037
PEF1	ENST00000373703
PFAS	ENST00000314666
PFDN2	ENST00000368010
CDK14	ENST00000265741
PHLDA3	ENST00000367311
SERPINB13	ENST00000344731
PIP5K1C	ENST00000335312
PLA2G2D	ENST00000375105
PLXNB2	ENST00000359337
ARFIP2	ENST00000254584
ANP32D	ENST00000266594
ICMT	ENST00000343813
PRDM4	ENST00000228437
PICK1	ENST00000356976
PRND	ENST00000305817
H2AFV	ENST00000308153
QPCT	ENST00000338415
RAB3GAP2	ENST00000358951
RAD54B	ENST00000336148
RANBP6	ENST00000259569
PITPNC1	ENST00000580974
RGS17	ENST00000206262
IFIT5	ENST00000371795
RLF	ENST00000372771
RPS6KC1	ENST00000366960
SF3B3	ENST00000302516
KLK5	ENST00000336334
NPTN	ENST00000345330
SEC14L2	ENST00000312932
SEC22A	ENST00000309934
SEMA3E	ENST00000307792
SLC17A5	ENST00000355773
SHC2	ENST00000264554
SNAPIN	ENST00000368685
SPO11	ENST00000371263
SSBP2	ENST00000320672
STAG3	ENST00000317296
STAT5B	ENST00000293328
STEAP1	ENST00000297205
SLC13A4	ENST00000354042
SYNGR4	ENST00000344846
TNFRSF13B	ENST00000261652
TBL2	ENST00000305632
TIAM2	ENST00000318981
PSD4	ENST00000245796
TIMM10	ENST00000257245
TIMM13	ENST00000215570
TIMM8B	ENST00000504148
TIMM9	ENST00000395159
ATP6V0A2	ENST00000330342
TLL1	ENST00000061240
TLL2	ENST00000357947
TSPAN16	ENST00000316737
TPSG1	ENST00000234798
PRPF6	ENST00000266079
TNPO3	ENST00000393245
TRPC5	ENST00000262839
LRRC6	ENST00000519595
TXN2	ENST00000416967
UCK2	ENST00000367879
VAX2	ENST00000234392
WBP1	ENST00000233615
WBP2	ENST00000254806
YWHAG	ENST00000307630
IKZF3	ENST00000346872
ZNF281	ENST00000294740
HMMR	ENST00000393915
ACAN	ENST00000439576
CD24	ENST00000606017
FLRT2	ENST00000330753
PDCD6	ENST00000264933
STK39	ENST00000355999
EIF3K	ENST00000248342
DROSHA	ENST00000511367
ATXN10	ENST00000252934
PRELID1	ENST00000303204
DNAJC15	ENST00000379221
PPP2R3B	ENST00000390665
N6AMT1	ENST00000303775
FHOD1	ENST00000258201
CFAP20	ENST00000262498
SCG3	ENST00000220478
MGAT4C	ENST00000548651
VPS4A	ENST00000254950
CLCF1	ENST00000312438
HTRA2	ENST00000258080
NXT1	ENST00000254998
ZNF214	ENST00000278314
ZNF215	ENST00000278319
TAC3	ENST00000458521
CLEC5A	ENST00000546910
TBK1	ENST00000331710
MKLN1	ENST00000352689
ZNF180	ENST00000221327
PYCARD	ENST00000247470
TAGLN3	ENST00000393917
SAP30BP	ENST00000584667
PPARGC1A	ENST00000264867
MYLIP	ENST00000356840
BRD7	ENST00000394689
DDX25	ENST00000263576
VPS51	ENST00000279281
CTNNA3	ENST00000433211
GLS2	ENST00000311966
LGALS13	ENST00000221797
CLEC2D	ENST00000290855
PRSS50	ENST00000315170
PCSK1N	ENST00000218230
SLCO3A1	ENST00000318445
POLL	ENST00000370162
ANKRD11	ENST00000301030
SHPK	ENST00000225519
RACGAP1	ENST00000427314
IL17C	ENST00000244241
MYRF	ENST00000265460
FLRT1	ENST00000246841
FLRT3	ENST00000378053
MAT2B	ENST00000321757
POLM	ENST00000242248
GNL2	ENST00000373062
RBM15B	ENST00000323686
KIR3DL1	ENST00000391728
CPSF1	ENST00000349769
MYLPF	ENST00000322861
TRA2A	ENST00000297071
GPSM2	ENST00000264126
SAC3D1	ENST00000398846
FAM216A	ENST00000377673
CCDC106	ENST00000308964
EEF2K	ENST00000263026
ZDHHC1	ENST00000348579
ST8SIA5	ENST00000315087
SNX15	ENST00000377244
GPR171	ENST00000309180
SLC30A4	ENST00000261867
C2orf27A	ENST00000355171
HOOK2	ENST00000397668
YPEL1	ENST00000339468
BLNK	ENST00000224337
PRRC2B	ENST00000357304
UBIAD1	ENST00000376810
HCFC2	ENST00000229330
SNX8	ENST00000222990
SNX11	ENST00000359238
CISH	ENST00000443053
ATG4B	ENST00000404914
C18orf8	ENST00000269221
PYCR2	ENST00000343818
PAXBP1	ENST00000290178
NME7	ENST00000367811
HILPDA	ENST00000257696
EPN1	ENST00000085079
GMPPB	ENST00000308388
GMPPA	ENST00000313597
SEC61A1	ENST00000243253
TIMM22	ENST00000327158
ALG5	ENST00000239891
ALG6	ENST00000371108
PCDHB1	ENST00000306549
OLA1	ENST00000284719
TFPT	ENST00000391759
GPR132	ENST00000329797
SNX12	ENST00000374274
RPA4	ENST00000373040
KCNJ14	ENST00000342291
NENF	ENST00000366988
TBX21	ENST00000177694
DSE	ENST00000359564
TMOD4	ENST00000295314
CNOT7	ENST00000361272
PKN3	ENST00000291906
SLC16A8	ENST00000320521
PURG	ENST00000475541
PADI1	ENST00000375471
ZNF223	ENST00000434772
ZNF225	ENST00000262894
PCOLCE2	ENST00000295992
PNMA3	ENST00000447306
GGA1	ENST00000343632
ANAPC2	ENST00000323927
ANAPC4	ENST00000315368
SERTAD3	ENST00000392028
DNMT3L	ENST00000270172
IL19	ENST00000270218
GREM1	ENST00000300177
ZDHHC8	ENST00000334554
ABT1	ENST00000274849
SERTAD1	ENST00000357949
PDZRN4	ENST00000539469
VPREB3	ENST00000248948
DPP7	ENST00000371579
ZNF112	ENST00000354340
TRHDE	ENST00000261180
POMT2	ENST00000261534
CYTH4	ENST00000248901
SLC25A24	ENST00000565488
UQCR10	ENST00000330029
PREB	ENST00000260643
NPC1L1	ENST00000289547
TMEM2	ENST00000377044
DMGDH	ENST00000255189
NRBP1	ENST00000379852
MRM2	ENST00000242257
PRICKLE4	ENST00000458694
ZNF224	ENST00000336976
CDIP1	ENST00000567695
RAB3IL1	ENST00000394836
FADS1	ENST00000350997
FST	ENST00000256759
AK4	ENST00000327299
NCF4	ENST00000397147
ARHGAP6	ENST00000337414
GGT1	ENST00000248923
KLRC4	ENST00000309384
TONSL	ENST00000409379
KCNIP3	ENST00000295225
RAX	ENST00000334889
LRP12	ENST00000276654
UBQLN1	ENST00000376395
PILRA	ENST00000198536
STOML2	ENST00000356493
ST6GALNAC6	ENST00000373142
UBQLN2	ENST00000338222
MKRN1	ENST00000255977
BAZ1A	ENST00000360310
BAZ2A	ENST00000551812
BAZ2B	ENST00000392783
MYOF	ENST00000359263
VCX	ENST00000381059
SPANXA1	ENST00000370519
OR12D2	ENST00000383555
OR11A1	ENST00000377147
OR10H3	ENST00000305892
OR10H2	ENST00000305899
OR10H1	ENST00000334920
OR10C1	ENST00000444197
CLIC4	ENST00000374379
NRG1	ENST00000356819
DDAH2	ENST00000375787
LIG3	ENST00000378526
BNIP1	ENST00000231668
NRG2	ENST00000289422
DIO2	ENST00000438257
DDR1	ENST00000376568
VCL	ENST00000211998
DHX38	ENST00000268482
CCDC22	ENST00000376227
FOXP3	ENST00000376207
ASTN2	ENST00000361209
SOCS5	ENST00000306503
REM1	ENST00000201979
SNRNP200	ENST00000323853
DEXI	ENST00000331808
SACM1L	ENST00000389061
LAMTOR2	ENST00000368305
MRPS28	ENST00000276585
TMEM176B	ENST00000447204
SSX2IP	ENST00000342203
WDR37	ENST00000263150
DCPS	ENST00000263579
OSTM1	ENST00000193322
SLC27A6	ENST00000395266
METTL7A	ENST00000332160
ASF1A	ENST00000229595
SNX24	ENST00000261369
SLC6A16	ENST00000335875
BZW2	ENST00000258761
C11orf54	ENST00000528288
SPCS1	ENST00000233025
ANAPC15	ENST00000227618
CHMP2B	ENST00000263780
UNC50	ENST00000357765
LRP10	ENST00000359591
MRPS18B	ENST00000259873
C19orf53	ENST00000588234
MKL2	ENST00000571589
ACAD9	ENST00000308982
MRPL42	ENST00000549982
TMEM14A	ENST00000211314
FLVCR1	ENST00000366971
IFT81	ENST00000242591
HIGD1A	ENST00000321331
TMPRSS11E	ENST00000305363
RGCC	ENST00000379359
MCTS1	ENST00000371317
MAGEH1	ENST00000342972
NOB1	ENST00000268802
DBNL	ENST00000494774
NTMT1	ENST00000372483
ASTE1	ENST00000264992
COMMD5	ENST00000305103
MACROD1	ENST00000255681
PSORS1C1	ENST00000259881
PSORS1C2	ENST00000259845
C6orf15	ENST00000259870
NCOA6	ENST00000359003
FAM32A	ENST00000263384
MRPL13	ENST00000306185
KLF15	ENST00000296233
DUOX2	ENST00000603300
ZNF770	ENST00000356321
ATAD2	ENST00000287394
PPP1R8	ENST00000311772
TRPS1	ENST00000395715
C16orf72	ENST00000327827
FAM156A	ENST00000356333
FAM156A	ENST00000416841
SCN11A	ENST00000302328
SMARCAL1	ENST00000357276
CNTNAP2	ENST00000361727
NUDT5	ENST00000537776
CD274	ENST00000381577
LAT2	ENST00000344995
WDR91	ENST00000354475
ZC3H7A	ENST00000355758
ZBTB44	ENST00000525842
CCDC113	ENST00000219299
SETD2	ENST00000409792
MKRN2	ENST00000170447
MRPL18	ENST00000367034
FXYD5	ENST00000392219
NDUFAF4	ENST00000316149
MED4	ENST00000258648
CCDC59	ENST00000256151
METTL5	ENST00000260953
CHMP4A	ENST00000347519
GTPBP8	ENST00000383678
CRIPT	ENST00000238892
PHPT1	ENST00000247665
THYN1	ENST00000341541
MRPL15	ENST00000260102
UBE2T	ENST00000367274
TIMM21	ENST00000169551
STXBP6	ENST00000419632
LGALSL	ENST00000238875
ORMDL2	ENST00000243045
DYNLRB1	ENST00000357156
CNIH4	ENST00000465271
COMMD9	ENST00000263401
TMEM208	ENST00000304800
SSU72	ENST00000291386
ADD1	ENST00000398125
SCN8A	ENST00000354534
AP2A1	ENST00000359032
ZNHIT2	ENST00000310597
TMEM258	ENST00000537328
CD5	ENST00000347785
DSPP	ENST00000399271
ETV2	ENST00000402764
EVI2A	ENST00000462804
GABRP	ENST00000265294
HOXC11	ENST00000243082
HOXD9	ENST00000249499
IMPA2	ENST00000269159
